RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index,SourceFile
25,12,0,-266.41,2.813,726.704,39.23,-327.9,20491,R20MZ_FZ_250_filtered
25,12,0,-266.39,4.149,726.364,44.05,-435.67,20457,R20MZ_FZ_250_filtered
25,12,0,-266.21,3.26,726.584,43.38,-369.15,20479,R20MZ_FZ_250_filtered
25,12,0,-266.08,3.218,726.594,42.69,-366.66,20480,R20MZ_FZ_250_filtered
25,12,0,-265.87,3.704,726.474,45.04,-404.35,20468,R20MZ_FZ_250_filtered
25,12,0,-265.86,5.55,861.211,36.62,-498.15,25406,R20MZ_FZ_250_filtered
25,12,0,-265.82,4.626,726.244,43.62,-463.12,20445,R20MZ_FZ_250_filtered
25,12,0,-265.81,-2.071,733.124,-36.28,248.93,21132,R20MZ_FZ_250_filtered
25,12,0,-265.77,4.196,726.354,44.65,-437.38,20456,R20MZ_FZ_250_filtered
25,12,0,-265.69,3.751,726.464,45.08,-406.53,20467,R20MZ_FZ_250_filtered
25,12,-0,-265.64,3.3,726.574,43.84,-371.62,20478,R20MZ_FZ_250_filtered
25,12,0,-265.55,5.989,861.101,33.63,-515.04,25395,R20MZ_FZ_250_filtered
25,12,0,-265.53,-2.522,733.014,-39.75,293.14,21121,R20MZ_FZ_250_filtered
25,12,-0,-265.48,5.463,726.034,38.25,-504.2,20424,R20MZ_FZ_250_filtered
25,12,0,-265.45,3.669,726.484,44.43,-401.72,20469,R20MZ_FZ_250_filtered
25,12,0,-265.45,2.83,726.694,40.05,-330.84,20490,R20MZ_FZ_250_filtered
25,12,0,-265.22,-2.131,733.114,-36.91,253.74,21131,R20MZ_FZ_250_filtered
25,12,-0,-265.17,4.597,726.254,43.26,-461.72,20446,R20MZ_FZ_250_filtered
25,12,0,-265.13,-2.038,733.134,-35.81,244.14,21133,R20MZ_FZ_250_filtered
25,12,0,-265.09,5.987,725.904,36.33,-525.15,20411,R20MZ_FZ_250_filtered
25,12,-0,-265.02,2.882,861.881,39.16,-330.83,25473,R20MZ_FZ_250_filtered
25,12,0,-264.97,-1.633,733.234,-31.44,199.76,21143,R20MZ_FZ_250_filtered
25,12,0,-264.97,5.584,861.201,36.38,-498.93,25405,R20MZ_FZ_250_filtered
25,12,0,-264.93,5.934,725.914,36.01,-523.58,20412,R20MZ_FZ_250_filtered
25,12,0,-264.91,3.3,861.771,42.1,-368.21,25462,R20MZ_FZ_250_filtered
25,12,0,-264.9,5.06,861.331,38.45,-476.59,25418,R20MZ_FZ_250_filtered
25,12,0,-264.83,3.741,861.661,43.09,-402.48,25451,R20MZ_FZ_250_filtered
25,12,0,-264.78,-2.077,868.321,-35.27,245.83,26116,R20MZ_FZ_250_filtered
25,12,0,-264.77,-1.619,868.431,-30.45,198.06,26127,R20MZ_FZ_250_filtered
25,12,0,-264.74,4.981,726.154,40.67,-480.63,20436,R20MZ_FZ_250_filtered
25,12,0,-264.7,-2.518,868.211,-38.99,290.35,26105,R20MZ_FZ_250_filtered
25,12,0,-264.68,2.858,861.891,38.35,-327.72,25474,R20MZ_FZ_250_filtered
25,12,0,-264.64,4.119,726.374,43.57,-433.04,20458,R20MZ_FZ_250_filtered
25,12,0,-264.62,-2.998,732.894,-42.75,337.51,21109,R20MZ_FZ_250_filtered
25,12,0,-264.59,-2.557,868.201,-39.16,294.69,26104,R20MZ_FZ_250_filtered
25,12,0,-264.58,4.632,861.441,40.47,-455.66,25429,R20MZ_FZ_250_filtered
25,12,0,-264.55,-2.953,732.904,-42.53,333.16,21110,R20MZ_FZ_250_filtered
25,12,0,-264.5,2.887,726.684,40.53,-333.31,20489,R20MZ_FZ_250_filtered
25,12,0,-264.44,2.764,726.714,38.26,-324,20492,R20MZ_FZ_250_filtered
25,12,0,-264.33,5.51,861.221,35.86,-495.35,25407,R20MZ_FZ_250_filtered
25,12,0,-264.32,-3.41,732.794,-43.84,368.84,21099,R20MZ_FZ_250_filtered
25,12,0,-264.27,4.551,726.264,43.04,-458.77,20447,R20MZ_FZ_250_filtered
25,12,0,-264.23,-3.444,732.784,-44.23,372.56,21098,R20MZ_FZ_250_filtered
25,12,0,-264.21,5.145,726.114,40.95,-486.06,20432,R20MZ_FZ_250_filtered
25,12,0,-264.19,3.178,726.604,42.33,-362.78,20481,R20MZ_FZ_250_filtered
25,12,0,-264.17,2.372,862.001,35.93,-285.69,25485,R20MZ_FZ_250_filtered
25,12,0,-264.16,-2.117,868.311,-35.52,251.1,26115,R20MZ_FZ_250_filtered
25,12,-0,-264.15,6.383,725.804,34.14,-539.86,20401,R20MZ_FZ_250_filtered
25,12,0,-264.09,6.413,725.794,33.85,-541.73,20400,R20MZ_FZ_250_filtered
25,12,0,-264.08,3.269,861.781,42.01,-365.27,25463,R20MZ_FZ_250_filtered
25,12,0,-264.05,5.959,861.111,32.92,-512.56,25396,R20MZ_FZ_250_filtered
25,12,0,-264.05,3.352,861.761,42.56,-370.85,25461,R20MZ_FZ_250_filtered
25,12,0,-264.02,4.595,861.451,39.87,-453.18,25430,R20MZ_FZ_250_filtered
25,12,0,-264.01,4.236,726.344,45.05,-438.62,20455,R20MZ_FZ_250_filtered
25,12,0,-264.01,3.803,861.651,43.24,-404.18,25450,R20MZ_FZ_250_filtered
25,12,0,-263.97,5.579,726.004,38.4,-507.15,20421,R20MZ_FZ_250_filtered
25,12,0,-263.97,-1.654,868.421,-30.93,203.49,26126,R20MZ_FZ_250_filtered
25,12,0,-263.93,-1.666,733.224,-32.09,205.67,21142,R20MZ_FZ_250_filtered
25,12,0,-263.9,2.417,861.991,36.94,-289.1,25484,R20MZ_FZ_250_filtered
25,12,0,-263.85,-1.579,868.441,-29.78,193.1,26128,R20MZ_FZ_250_filtered
25,12,0,-263.8,-3.041,732.884,-42.87,341.85,21108,R20MZ_FZ_250_filtered
25,12,0,-263.75,5.426,726.044,38.32,-501.09,20425,R20MZ_FZ_250_filtered
25,12,0,-263.68,-3.917,732.664,-43.4,407.61,21086,R20MZ_FZ_250_filtered
25,12,0,-263.68,-2.157,733.104,-36.8,259.34,21130,R20MZ_FZ_250_filtered
25,12,0,-263.58,-2.032,868.331,-34.73,241.35,26117,R20MZ_FZ_250_filtered
25,12,0,-263.55,-4.365,732.554,-43.11,434.46,21075,R20MZ_FZ_250_filtered
25,12,0,-263.54,-4.799,732.444,-40.41,457.57,21064,R20MZ_FZ_250_filtered
25,12,0,-263.52,-2.991,868.091,-41.69,334.72,26093,R20MZ_FZ_250_filtered
25,12,0,-263.38,6.026,725.894,36.27,-525.45,20410,R20MZ_FZ_250_filtered
25,12,-0,-263.32,-4.326,732.564,-43.06,431.51,21076,R20MZ_FZ_250_filtered
25,12,0,-263.31,-2.958,868.101,-41.24,330.69,26094,R20MZ_FZ_250_filtered
25,12,0,-263.29,3.626,726.494,43.83,-397.98,20470,R20MZ_FZ_250_filtered
25,12,0,-263.22,-3.42,867.981,-42.65,368.84,26082,R20MZ_FZ_250_filtered
25,12,0,-263.21,-3.845,732.684,-43.91,400.95,21088,R20MZ_FZ_250_filtered
25,12,0,-263.18,3.34,726.564,43.93,-373.47,20477,R20MZ_FZ_250_filtered
25,12,0,-263.17,-3.489,732.774,-44.18,376.44,21097,R20MZ_FZ_250_filtered
25,12,0,-263.15,6.419,860.991,31.96,-530.72,25384,R20MZ_FZ_250_filtered
25,12,0,-263.1,-2.477,868.221,-38.13,286.02,26106,R20MZ_FZ_250_filtered
25,12,0,-263.09,3.227,861.791,41.14,-361.84,25464,R20MZ_FZ_250_filtered
25,12,0,-262.95,-2.927,732.914,-42.21,330.24,21111,R20MZ_FZ_250_filtered
25,12,0,-262.95,-2.597,868.191,-39.18,299.51,26103,R20MZ_FZ_250_filtered
25,12,0,-262.93,-5.237,732.334,-39.13,477.72,21053,R20MZ_FZ_250_filtered
25,12,0,-262.92,-5.207,732.344,-39.5,475.89,21054,R20MZ_FZ_250_filtered
25,12,0,-262.89,4.165,861.561,41.58,-429.14,25441,R20MZ_FZ_250_filtered
25,12,0,-262.84,2.928,861.871,39.71,-333.62,25472,R20MZ_FZ_250_filtered
25,12,0,-262.77,-3.356,732.804,-43.53,365.91,21100,R20MZ_FZ_250_filtered
25,12,0,-262.77,5.02,861.341,38.18,-473.94,25419,R20MZ_FZ_250_filtered
25,12,0,-262.76,3.68,861.681,41.84,-396.11,25453,R20MZ_FZ_250_filtered
25,12,0,-262.73,4.07,726.384,43.48,-429.3,20459,R20MZ_FZ_250_filtered
25,12,0,-262.72,-3.399,867.991,-42.42,365.44,26083,R20MZ_FZ_250_filtered
25,12,0,-262.7,6.868,725.684,30.15,-556.15,20389,R20MZ_FZ_250_filtered
25,12,0,-262.66,-4.276,732.574,-43.03,428.88,21077,R20MZ_FZ_250_filtered
25,12,0,-262.64,5.185,861.301,38.72,-479.69,25415,R20MZ_FZ_250_filtered
25,12,0,-262.6,-1.702,868.411,-30.89,209.08,26125,R20MZ_FZ_250_filtered
25,12,0,-262.6,-1.198,868.541,-23.63,148.59,26138,R20MZ_FZ_250_filtered
25,12,0,-262.57,-5.279,732.324,-38.81,479.28,21052,R20MZ_FZ_250_filtered
25,12,0,-262.56,5.474,861.231,35.71,-492.39,25408,R20MZ_FZ_250_filtered
25,12,0,-262.54,-2.159,868.301,-35.42,256.55,26114,R20MZ_FZ_250_filtered
25,12,0,-262.52,-4.788,867.641,-38.87,450.28,26048,R20MZ_FZ_250_filtered
25,12,0,-262.46,-3.963,732.654,-42.97,410.72,21085,R20MZ_FZ_250_filtered
25,12,0,-262.31,2.724,726.724,37.67,-319.18,20493,R20MZ_FZ_250_filtered
25,12,0,-262.25,-1.235,868.531,-24.25,154.34,26137,R20MZ_FZ_250_filtered
25,12,-0,-262.24,-1.71,733.214,-32.31,211.58,21141,R20MZ_FZ_250_filtered
25,12,0,-262.22,4.271,861.531,41.96,-434.4,25438,R20MZ_FZ_250_filtered
25,12,0,-262.21,-1.98,868.341,-34.23,237.33,26118,R20MZ_FZ_250_filtered
25,12,0,-262.16,4.945,726.164,40.84,-477.21,20437,R20MZ_FZ_250_filtered
25,12,-0,-262.09,3.378,861.751,42.38,-372.53,25460,R20MZ_FZ_250_filtered
25,12,0,-262.06,2.467,861.981,36.79,-292.05,25483,R20MZ_FZ_250_filtered
25,12,0,-262.03,-2.915,868.111,-41.05,326.67,26095,R20MZ_FZ_250_filtered
25,12,0,-262.02,-1.244,733.334,-25.12,155.26,21153,R20MZ_FZ_250_filtered
25,12,0,-261.99,6.387,861.001,32.09,-527.75,25385,R20MZ_FZ_250_filtered
25,12,0,-261.95,-1.164,868.551,-22.41,143.48,26139,R20MZ_FZ_250_filtered
25,12,-0,-261.88,-1.539,868.451,-29.35,188.94,26129,R20MZ_FZ_250_filtered
25,12,0,-261.87,-3.811,732.694,-43.9,398.49,21089,R20MZ_FZ_250_filtered
25,12,0,-261.87,-4.762,867.651,-39.32,448.11,26049,R20MZ_FZ_250_filtered
