AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.49,785.733,-7.62,-16.27,-97.22,3.991,-15.84,26.69,0.03,0.0784,0.1673,12.11,160085.33,7.9,91.93,0.417,-0,-1,122.85,122.88,125.1,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19942
78.51,785.743,-8.1,-19.23,-99.4,3.99,-15.6,25.87,-0.04,0.0815,0.1934,12.03,-99534.96,7.9,91.97,0.452,-0,-1.0001,122.83,122.9,125.08,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19943
78.49,785.753,-7.14,-22.52,-100.77,3.981,-15.34,25.59,0.16,0.0709,0.2235,11.94,25747.65,7.9,92.01,0.487,-0,-0.9997,122.85,122.99,125.02,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19944
78.47,785.763,-5.36,-25.64,-101.35,3.994,-14.89,25.71,0.09,0.0529,0.253,11.9,44390.87,7.9,92,0.535,-0,-0.9998,122.85,122.94,125.02,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19945
78.5,785.773,-4.59,-28.89,-101.07,3.987,-14.92,24.25,0.09,0.0454,0.2858,11.92,44390.51,7.9,92.02,0.573,-0,-0.9998,122.87,122.99,125.02,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19946
78.5,785.783,-3.74,-32.19,-99.84,3.978,-15.07,23.78,0.09,0.0375,0.3224,11.96,44379.63,7.9,92,0.628,-0,-0.9998,122.85,123.07,124.96,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19947
78.47,785.793,-4.25,-34.77,-98.8,3.985,-14.8,22.82,0.09,0.043,0.3519,12.06,44379.24,7.9,92,0.664,-0,-0.9998,122.78,123.14,124.9,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19948
78.47,785.803,-5,-37.51,-97.58,3.991,-14.83,22.82,0.09,0.0512,0.3844,12.09,44378.66,7.9,91.96,0.714,-0,-0.9998,122.76,123.23,124.86,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19949
78.49,785.813,-5.37,-39.87,-97.53,3.997,-14.68,24.04,0.03,0.055,0.4088,12.06,160184.69,7.89,91.93,0.75,-0,-1,122.76,123.29,124.92,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19950
78.49,785.823,-6.65,-42.53,-97.32,3.997,-14.94,24.92,0.09,0.0683,0.437,12.01,44398.34,7.89,91.89,0.789,-0,-0.9998,122.8,123.4,124.96,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19951
78.46,785.833,-7.8,-45.77,-97.92,3.998,-15.73,25.75,0.03,0.0796,0.4674,11.92,160181.17,7.89,91.84,0.826,-0,-1,122.87,123.45,125.02,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19952
78.48,785.843,-8.36,-48.28,-99.55,3.99,-15.45,26.56,0.03,0.0839,0.4849,11.87,160216.2,7.9,91.82,0.869,-0,-1,122.85,123.34,125.06,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19953
78.49,785.853,-8.11,-51.55,-101.42,3.981,-15.77,27.12,-0.04,0.08,0.5083,11.9,-99592.81,7.9,91.77,0.902,-0,-1.0001,122.87,123.25,125.06,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19954
78.46,785.863,-7.01,-54.58,-103.42,3.996,-15.66,27.67,0.16,0.0678,0.5278,11.99,25762.43,7.89,91.74,0.945,-0,-0.9997,122.89,123.27,125.08,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19955
78.46,785.873,-5.44,-57.3,-104.18,3.988,-15.72,27.96,0.09,0.0522,0.5501,12.08,44385.39,7.9,91.73,0.976,-0,-0.9998,122.89,123.27,125.1,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",19956
