RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index
25,12,0,-107.07,0.647,447.8,1.04,-61.21,7491
25,12,0,-106.44,0.691,447.81,0.24,-64.59,7492
25,12,0,-103.75,0.737,447.82,-0.01,-67.55,7493
25,12,0,-101.54,0.769,447.83,0.06,-70.79,7494
25,12,0,-101.49,0.799,447.84,0.52,-73.44,7495
25,12,0,-107.96,0.948,447.88,6.83,-89.28,7499
25,12,0,-111.54,1.008,447.9,9.17,-96.15,7501
25,12,0,-112.26,1.062,447.91,10.03,-99.26,7502
25,12,0,-110.61,1.095,447.92,10.58,-101.39,7503
25,12,0,-103.7,1.221,447.95,11.68,-105.73,7506
25,12,0,-102.01,1.253,447.96,11.07,-107.41,7507
25,12,0,-102.21,1.291,447.97,11.76,-109.55,7508
25,12,0,-103.51,1.337,447.98,11.96,-112.22,7509
25,12,0,-111.95,1.512,448.02,8.16,-125.3,7513
25,12,0,-110.5,1.531,448.03,7.3,-127.59,7514
25,12,0,-108.19,1.581,448.04,6.92,-129.13,7515
25,12,0,-101.39,1.821,448.1,8.26,-134.5,7521
25,12,0,-104.38,1.853,448.11,9.01,-137.94,7522
25,12,0,-106.42,1.891,448.12,9.2,-141.71,7523
25,12,0,-108.28,1.937,448.13,8.57,-145.28,7524
25,12,0,-97.62,2.151,448.18,10.07,-144.61,7529
25,12,0,-96.73,2.235,448.2,10.5,-145.62,7531
25,12,0,-98.41,2.287,448.21,10.69,-148.75,7532
25,12,0,-101.03,2.327,448.22,10.66,-153.32,7533
25,12,0,-106.77,2.443,448.25,7.86,-165.73,7536
25,12,0,-105.7,2.487,448.26,6.95,-166.54,7537
25,12,0,-102.82,2.521,448.27,6.55,-165.38,7538
25,12,0,-96.65,2.576,448.29,5.8,-159.62,7540
25,12,0,-102.44,2.773,448.34,10.62,-172.2,7545
25,12,0,-105.65,2.838,448.36,12.32,-179.36,7547
25,12,0,-94.54,3.055,448.41,11.06,-170.14,7552
25,12,0,-94.39,3.101,448.42,11.01,-170.25,7553
25,12,0,-100.2,3.23,448.45,9.5,-183.51,7556
25,12,0,-99.71,3.439,448.5,4.3,-189.09,7561
25,12,0,-97.16,3.471,448.51,3.77,-184.74,7562
25,12,0,-94.49,3.517,448.52,3.73,-181.87,7563
25,12,0,-93.48,3.544,448.53,4.28,-180.79,7564
25,12,0,-94.1,3.587,448.54,5.68,-183.58,7565
25,12,0,-101.47,3.697,448.57,9.61,-199.35,7568
25,12,0,-103.3,3.744,448.58,10.61,-203.24,7569
25,12,0,-104.15,3.774,448.59,11.43,-204.83,7570
25,12,0,-100.25,3.847,448.61,11.08,-199.53,7572
25,12,0,-97.54,3.892,448.62,11.05,-194.33,7573
25,12,-0,-93.46,4.005,448.65,11.1,-190.71,7576
25,12,0,-95.21,4.046,448.66,11.2,-195.28,7577
25,12,0,-100.06,4.137,448.68,10.78,-206.49,7579
25,12,0,-102.46,4.181,448.69,9.5,-211.13,7580
25,12,0,-103.28,4.214,448.7,7.88,-213,7581
25,12,0,-95.5,4.389,448.74,4.52,-200.5,7585
25,12,0,-93.14,4.423,448.75,4.78,-198,7586
25,12,0,-93.4,4.47,448.76,5.34,-198.5,7587
25,12,0,-93.56,4.499,448.77,6.09,-201.42,7588
25,12,0,-102.95,4.702,448.82,10.11,-220.91,7593
25,12,0,-99.71,4.791,448.84,9.27,-213.77,7595
25,12,0,-96.25,4.827,448.85,8.35,-208.31,7596
25,12,0,-93.95,4.868,448.86,7.79,-204.24,7597
25,12,0,-92.74,4.908,448.87,7.25,-203.3,7598
25,12,0,-99.66,5.071,448.91,7.88,-221.36,7602
25,12,0,-101.83,5.106,448.92,7.48,-225.12,7603
25,12,0,-102.46,5.146,448.93,6.82,-226.35,7604
25,12,0,-102.03,5.197,448.94,6.19,-224.63,7605
25,12,0,-99.84,5.232,448.95,5.34,-220.25,7606
25,12,0,-91.86,5.339,448.98,5.67,-207.21,7609
25,12,0,-91.8,5.389,448.99,6.75,-208.7,7610
25,12,0,-92.86,5.422,449,8.41,-212.75,7611
25,12,0,-95.3,5.452,449.01,9.76,-218.23,7612
25,12,0,-97.52,5.505,449.02,10.26,-223.51,7613
25,12,0,-102.42,5.627,449.05,8.47,-230.83,7616
25,12,0,-101.12,5.67,449.06,7.25,-228.05,7617
25,12,0,-92.94,5.792,449.09,4.45,-214.02,7620
25,12,0,-91.97,5.836,449.1,4.39,-213.2,7621
25,12,0,-101.1,6.027,449.15,7.44,-234.68,7626
25,12,0,-102.37,6.071,449.16,7.08,-236.26,7627
25,12,0,-102.34,6.114,449.17,6.95,-234.56,7628
25,12,0,-100.41,6.15,449.18,6.09,-230.36,7629
25,12,0,-97.12,6.185,449.19,5.46,-224.58,7630
25,12,0,-92.7,6.31,449.22,6.35,-218.5,7633
25,12,0,-97.47,6.42,449.25,7.91,-232.35,7636
25,12,0,-99.48,6.468,449.26,7.68,-237.18,7637
25,12,-0,-102.21,6.499,449.27,7.2,-239.96,7638
25,12,0,-102.06,6.543,449.28,6.32,-240.59,7639
25,12,0,-101.69,6.579,449.29,5.54,-237.94,7640
25,12,0,-99.48,6.614,449.3,5.01,-232.95,7641
25,12,0,-96.1,6.658,449.31,4.48,-227.53,7642
25,12,0,-93.94,6.701,449.32,4.26,-223.32,7643
25,12,0,-92.34,6.748,449.33,4.49,-222.67,7644
25,12,0,-92.15,6.783,449.34,5.34,-224.67,7645
25,12,0,-96.7,6.871,449.36,6.97,-235.28,7647
25,12,0,-99.5,6.906,449.37,7.51,-240.43,7648
25,12,0,-102.89,6.979,449.39,6.19,-246.98,7650
25,12,0,-102.82,7.023,449.4,5.73,-245.25,7651
25,12,0,-100.88,7.066,449.41,4.87,-240.57,7652
25,12,0,-92.62,7.229,449.45,4.51,-227.46,7656
25,12,0,-95.22,7.301,449.47,5.96,-236.33,7658
25,12,0,-97.98,7.348,449.48,6.64,-242.42,7659
25,12,0,-100.94,7.391,449.49,6.6,-247.28,7660
25,12,0,-103.15,7.466,449.51,5.81,-250.38,7662
25,12,0,-99.94,7.546,449.53,4.1,-241.82,7664
25,12,-0,-97.17,7.584,449.54,3.82,-235.71,7665
25,12,0,-94.51,7.627,449.55,3.65,-231.52,7666
25,12,0,-92.42,7.666,449.56,3.86,-230.4,7667
25,12,0,-93.89,7.712,449.57,4.73,-233.36,7668
25,12,0,-94.9,7.742,449.58,5.7,-238.36,7669
25,12,0,-102.37,7.862,449.61,6.21,-253.48,7672
25,12,-0,-103.62,7.899,449.62,5.93,-255.17,7673
25,12,-0,-103.68,7.941,449.63,4.88,-253.14,7674
25,12,0,-98.71,8.031,449.65,3.46,-241.77,7676
25,12,0,-95.51,8.07,449.66,3.8,-236.54,7677
25,12,0,-94.93,8.177,449.69,5.14,-239.28,7680
25,12,0,-96.43,8.216,449.7,5.62,-245.19,7681
25,12,0,-99.08,8.273,449.71,6.2,-250.35,7682
25,12,0,-101.73,8.31,449.72,5.9,-254.57,7683
25,12,0,-103.02,8.355,449.73,5.59,-257.35,7684
25,12,0,-100.96,8.475,449.76,3.71,-248.51,7687
25,12,-0,-93.52,8.588,449.79,2.87,-237.07,7690
25,12,0,-93.47,8.62,449.8,4.07,-239.14,7691
25,12,0,-95.08,8.661,449.81,4.73,-243.62,7692
25,12,0,-103.8,8.82,449.85,5.15,-259.53,7696
25,12,0,-104.02,8.86,449.86,4.21,-258.11,7697
25,12,0,-102.31,8.91,449.87,3.41,-253.62,7698
25,12,0,-99.4,8.947,449.88,3.06,-247.71,7699
25,12,0,-93.63,9.056,449.91,3.26,-240.82,7702
25,12,0,-94.54,9.092,449.92,4.34,-244.09,7703
25,12,0,-96.02,9.128,449.93,4.5,-249.37,7704
25,12,0,-100.77,9.23,449.95,4.71,-258.12,7706
25,12,0,-102.81,9.27,449.96,4.58,-261.25,7707
25,12,0,-104.05,9.297,449.97,4.2,-261.38,7708
25,12,0,-98.83,9.426,450,2.14,-247.06,7711
25,12,0,-94.48,9.504,450.02,2.46,-241.46,7713
25,12,0,-94.13,9.55,450.03,3.07,-243.61,7714
25,12,0,-94.98,9.579,450.04,3.75,-247.8,7715
25,12,0,-97.69,9.629,450.05,4.71,-252.96,7716
25,12,0,-104.19,9.742,450.08,4.16,-262.95,7719
25,12,-0,-103.84,9.775,450.09,3.93,-261.68,7720
25,12,0,-103.25,9.825,450.1,3.1,-257.02,7721
25,12,0,-100.42,9.86,450.11,2.18,-251.14,7722
25,12,0,-97.65,9.904,450.12,1.83,-245.35,7723
25,12,0,-95.48,9.933,450.13,1.82,-242.37,7724
25,12,0,-95,10.024,450.15,3.3,-246.26,7726
25,12,0,-96.31,10.061,450.16,4.03,-251.4,7727
25,12,0,-101.34,10.139,450.18,4.57,-260.16,7729
25,12,0,-104.75,10.212,450.2,4.38,-262.93,7731
25,12,0,-99.06,10.321,450.23,2.45,-248.92,7734
25,12,0,-96.5,10.372,450.24,2.29,-244.73,7735
25,12,0,-95.54,10.5,450.27,3.38,-249.08,7738
25,12,-0,-97.04,10.533,450.28,4.1,-254.01,7739
25,12,-0,-103.12,10.666,450.31,3.82,-263.22,7742
25,12,0,-103.49,10.752,450.33,2.59,-258.44,7744
25,12,0,-101.54,10.785,450.34,1.47,-252.98,7745
25,12,0,-98.09,10.82,450.35,0.74,-247.37,7746
25,12,0,-94.69,10.943,450.38,2.08,-246.1,7749
25,12,0,-100.21,11.061,450.41,3.97,-258.39,7752
25,12,0,-102.5,11.107,450.42,3.8,-261.39,7753
25,12,0,-103.94,11.151,450.43,3.53,-262.81,7754
25,12,0,-97.83,11.31,450.47,0.88,-245.5,7758
25,12,0,-94.4,11.38,450.49,1.74,-243.59,7760
25,12,0,-96.41,11.47,450.51,3.4,-252.34,7762
25,12,0,-104.57,11.625,450.55,2.38,-263.42,7766
25,12,0,-102.68,11.687,450.57,-0.54,-255,7768
25,12,0,-100.3,11.722,450.58,-3.08,-249.07,7769
25,12,0,-95.98,11.781,450.61,-9.93,-246.71,7772
25,12,0,-96.22,11.793,450.62,-8.85,-251.7,7773
25,12,0,-99.35,11.815,450.64,-6.01,-261.37,7775
25,12,0,-101.5,11.808,450.65,-8.27,-263.85,7776
25,12,0,-100.42,12.222,450.7,-11.57,-251.87,7780
25,12,0,-97.67,12.206,450.71,-7.55,-248.73,7781
25,12,0,-96.63,12.203,450.72,-4.59,-248.28,7782
25,12,0,-96.31,12.206,450.73,-1.97,-250.6,7783
25,12,0,-97.76,12.189,450.74,1.19,-254.36,7784
25,12,0,-106.44,12.176,450.79,9.46,-265.28,7789
25,12,0,-104.97,12.157,450.8,8.51,-261.55,7790
25,12,0,-99.48,12.17,450.82,5.17,-250.95,7792
25,12,0,-97.13,12.154,450.83,3.38,-247.83,7793
25,12,-0,-98.43,12.118,450.86,-7.18,-254.31,7796
25,12,0,-99.87,12.1,450.87,-9.5,-258.26,7797
25,12,0,-103.14,12.063,450.88,-11.58,-261.23,7798
25,12,0,-104.8,12.045,450.89,-14.5,-263.7,7799
25,12,0,-96.97,11.779,450.95,-8.9,-246.89,7805
25,12,0,-96,11.732,450.96,-3.58,-247.16,7806
25,12,0,-96.28,11.686,450.97,-0.33,-250.15,7807
25,12,0,-98.17,11.634,450.98,2.28,-253.71,7808
25,12,0,-100.98,11.583,450.99,4.85,-257.78,7809
25,12,0,-106.29,11.463,451.02,10.95,-264.99,7812
25,12,-0,-103.25,11.38,451.04,8.75,-256.71,7814
25,12,0,-100.3,11.342,451.05,8.1,-250.65,7815
25,12,0,-102.2,11.146,451.11,6.3,-260.12,7821
25,12,0,-104.21,11.108,451.12,4.62,-264.34,7822
25,12,0,-105.64,11.083,451.13,2.77,-266.21,7823
25,12,0,-105.84,11.049,451.14,0.14,-264.21,7824
25,12,0,-103.82,10.999,451.15,-2.09,-259.68,7825
25,12,0,-95.05,10.847,451.19,-4.55,-244.68,7829
25,12,0,-95.75,10.798,451.2,-3.73,-248.25,7830
25,12,0,-98.1,10.765,451.21,-2.79,-253.1,7831
25,12,0,-101.09,10.711,451.22,-2,-258.41,7832
25,12,0,-103.11,10.668,451.23,-0.97,-262.63,7833
25,12,0,-105.38,10.626,451.24,-0.04,-265.47,7834
25,12,0,-102.92,10.505,451.27,3.18,-255.47,7837
25,12,0,-100.3,10.45,451.28,4.48,-249.4,7838
25,12,0,-97.1,10.41,451.29,5.67,-245.01,7839
25,12,0,-96.26,10.372,451.3,6.73,-243.96,7840
25,12,0,-95.88,10.33,451.31,7.98,-246.26,7841
25,12,0,-104.91,10.184,451.35,7.26,-263.26,7845
25,12,0,-105.97,10.148,451.36,5.61,-264.21,7846
25,12,0,-104.89,10.087,451.38,2,-257.67,7848
25,12,0,-101.06,10.044,451.39,-0.22,-252.2,7849
25,12,0,-96.6,9.892,451.43,-1.88,-248.43,7853
25,12,0,-97.83,9.839,451.44,-1.36,-252.84,7854
25,12,0,-100.55,9.809,451.45,-0.76,-256.86,7855
25,12,-0,-102.35,9.754,451.46,0.23,-259.65,7856
25,12,0,-104.68,9.71,451.47,1.12,-261.84,7857
