RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index
25,12,4,-202.4,0.533,650.586,35.83,-3.56,14961
25,12,4,-206.55,0.734,650.636,38.34,-30.51,14966
25,12,4,-208.88,0.777,650.646,38.68,-35.8,14967
25,12,4,-200.36,1.002,650.706,41.79,-61.82,14973
25,12,4,-198.9,1.436,650.816,45.68,-106.96,14984
25,12,4,-202.61,1.745,650.896,46.9,-143.1,14992
25,12,4,-200,1.784,650.906,46.81,-146.36,14993
25,12,4,-195.86,2.312,651.026,46.48,-189.35,15005
25,12,4,-194.43,2.331,651.036,46.07,-191.45,15006
25,12,4,-194.19,2.415,651.056,47.27,-197.38,15008
25,12,4,-195.05,2.448,651.066,48.41,-201.52,15009
25,12,4,-196.68,2.488,651.076,49.19,-206.39,15010
25,12,4,-195.27,2.652,651.126,50.06,-223.44,15015
25,12,4,-190.43,2.73,651.146,50.18,-225.25,15017
25,12,4,-193.36,2.951,651.196,53.02,-243.29,15022
25,12,4,-194.3,3.035,651.216,49.96,-251.45,15024
25,12,4,-190.61,3.131,651.236,46.05,-255.08,15026
25,12,4,-184.5,3.29,651.276,43.65,-259.33,15030
25,12,4,-186.95,3.378,651.296,45.24,-267.58,15032
25,12,4,-191.56,3.91,651.436,51.12,-305.08,15046
25,12,4,-191.85,3.962,651.446,49.7,-308.13,15047
25,12,4,-190.88,3.99,651.456,47.98,-309.93,15048
25,12,4,-187.13,4.275,651.526,46.59,-321.83,15055
25,12,4,-193.26,4.394,651.556,46.35,-335.38,15058
25,12,4,-189.83,4.482,651.576,45.24,-337.33,15060
25,12,4,-183.37,4.602,651.606,45.37,-335.08,15063
25,12,4,-183.49,4.646,651.616,46.14,-336.15,15064
25,12,4,-188.37,4.958,651.696,42.45,-358.86,15072
25,12,4,-183.62,5.082,651.726,43.22,-355.86,15075
25,12,4,-192.34,5.242,651.766,45.86,-375.08,15079
25,12,4,-192.23,5.352,651.796,43.64,-381.63,15082
25,12,4,-189.83,5.391,651.806,42.87,-379.44,15083
25,12,4,-186.76,5.442,651.816,42.67,-376.51,15084
25,12,4,-184.53,5.472,651.826,42.6,-374.3,15085
25,12,4,-189.79,5.634,651.866,44.89,-386.89,15089
25,12,4,-192.82,5.679,651.876,45.05,-393.09,15090
25,12,4,-188.51,5.875,651.926,40.63,-393.98,15095
25,12,4,-184.48,5.954,651.946,40.76,-390.46,15097
25,12,4,-184.87,6.006,651.956,41.5,-392.45,15098
25,12,4,-186.59,6.034,651.966,42.13,-397.02,15099
25,12,4,-195.83,6.194,652.006,41.93,-415.41,15103
25,12,4,-190.3,6.32,652.036,39.11,-405.95,15106
25,12,4,-185.91,6.396,652.056,39.88,-403.42,15108
25,12,4,-186.08,6.445,652.066,40.31,-406.2,15109
25,12,4,-187.51,6.482,652.076,41.17,-410.93,15110
25,12,4,-192.85,6.559,652.096,42.39,-422.9,15112
25,12,4,-188.07,6.916,652.186,39.19,-422.42,15121
25,12,4,-192.5,7.013,652.206,40.41,-432.73,15123
25,12,4,-195.15,7.04,652.216,40.45,-437.06,15124
25,12,4,-190.15,7.281,652.276,36.12,-425.21,15130
25,12,4,-189.02,7.321,652.286,36.96,-427.15,15131
25,12,4,-189.23,7.357,652.296,37.55,-431.33,15132
25,12,4,-198.05,7.597,652.356,36.31,-444.93,15138
25,12,4,-194.74,7.679,652.376,34.97,-434.57,15140
25,12,4,-192.21,7.71,652.386,34.94,-432.71,15141
25,12,4,-190.75,7.768,652.396,35.39,-433.42,15142
25,12,4,-193.24,7.888,652.426,37.45,-447.41,15145
25,12,4,-197.28,7.958,652.446,37.75,-454.81,15147
25,12,4,-199.41,8.034,652.466,35.01,-451.06,15149
25,12,4,-198.86,8.078,652.476,33.8,-444.72,15150
25,12,4,-194.78,8.207,652.506,33.22,-432.36,15153
25,12,4,-193.83,8.279,652.526,35.36,-441.45,15155
25,12,4,-194.73,8.32,652.536,35.85,-447.62,15156
25,12,4,-199.46,8.562,652.596,31.38,-444.2,15162
25,12,4,-197.95,8.598,652.606,31.03,-437.61,15163
25,12,4,-197.15,8.634,652.616,31.61,-435.01,15164
25,12,4,-195.38,8.674,652.626,32.55,-436.36,15165
25,12,4,-197.67,8.796,652.656,34.33,-450.86,15168
25,12,4,-201.76,8.956,652.696,32.13,-451.84,15172
25,12,4,-198.17,9.118,652.736,30.69,-432.29,15176
25,12,4,-197.6,9.159,652.746,31.15,-435,15177
25,12,4,-198.14,9.208,652.756,32.24,-439.94,15178
25,12,4,-201.52,9.28,652.776,33.42,-449.68,15180
25,12,4,-204.26,9.406,652.806,31.13,-447.32,15183
25,12,4,-203.88,9.433,652.816,29.87,-440.5,15184
25,12,4,-202.74,9.492,652.826,29.77,-432.63,15185
25,12,4,-199.25,9.589,652.856,31.82,-427.57,15188
25,12,4,-200.51,9.676,652.876,32.85,-437.91,15190
25,12,4,-203.31,9.758,652.896,33.43,-449.41,15192
25,12,4,-203.4,9.804,652.906,32.28,-452.97,15193
25,12,4,-203.44,9.841,652.916,30.74,-452.19,15194
25,12,4,-200.64,10.071,652.976,31,-424.85,15200
25,12,4,-201.38,10.116,652.986,31.7,-430.08,15201
25,12,4,-204.89,10.242,653.016,32.42,-443.1,15204
25,12,4,-205.7,10.275,653.026,31.16,-444.28,15205
25,12,4,-202.12,10.397,653.056,28.33,-431.59,15208
25,12,4,-200.68,10.561,653.096,30.88,-424.53,15212
25,12,4,-206.75,10.752,653.146,29.75,-434.72,15217
25,12,4,-204.98,10.836,653.166,28.25,-423.18,15219
25,12,4,-202.08,11.049,653.216,31,-423.2,15224
25,12,4,-205.78,11.164,653.246,31.38,-436.67,15227
25,12,4,-205.3,11.25,653.266,29.37,-434.2,15229
25,12,4,-200.09,11.415,653.306,28.67,-412.29,15233
25,12,4,-200.64,11.442,653.316,30.02,-414.27,15234
25,12,4,-202.96,11.505,653.336,30.85,-422.38,15236
25,12,4,-206.38,11.648,653.376,25.16,-431.33,15240
25,12,4,-199.69,11.73,653.416,15.25,-414,15244
25,12,4,-204.82,12.268,653.466,15.43,-422.57,15248
25,12,4,-206.23,12.278,653.476,14.52,-424.82,15249
25,12,4,-205.08,12.265,653.506,19.49,-416,15252
25,12,4,-199.72,12.229,653.546,30.59,-407.06,15256
25,12,4,-202.47,12.224,653.576,37.05,-419.31,15259
25,12,4,-203.9,12.215,653.586,36.8,-423.27,15260
25,12,4,-206.22,12.215,653.606,34.63,-424.05,15262
25,12,4,-204.91,12.209,653.616,32.63,-419.96,15263
25,12,4,-203.7,12.211,653.626,29.82,-414.88,15264
25,12,4,-199.12,12.102,653.676,17.72,-410.94,15269
25,12,4,-203.84,12.013,653.706,10.03,-423.1,15272
25,12,4,-204.96,11.977,653.716,9.08,-424.12,15273
25,12,4,-203.14,11.883,653.736,13.68,-419.41,15275
25,12,4,-197.17,11.724,653.766,26.25,-408.9,15278
25,12,4,-197.73,11.292,653.876,34.91,-409.05,15289
25,12,4,-201.49,11.118,653.926,31.56,-427.31,15294
25,12,4,-200.86,10.971,653.966,22.49,-425.3,15298
25,12,4,-198.92,10.929,653.976,22.62,-418.27,15299
25,12,4,-200.67,10.672,654.036,29.62,-425.03,15305
25,12,4,-198.19,10.241,654.146,34.07,-429.22,15316
25,12,4,-200.55,10.095,654.186,28.49,-434.03,15320
25,12,4,-196.51,9.971,654.216,24.99,-420.76,15323
25,12,4,-195.48,9.878,654.236,27.42,-423.31,15325
25,12,4,-199.41,9.721,654.276,31.66,-440.32,15329
25,12,4,-199.72,9.626,654.296,31.78,-442.33,15331
25,12,4,-196.92,9.404,654.356,34.65,-424,15337
25,12,4,-198.81,9.309,654.376,34.66,-432.59,15339
25,12,4,-201.14,9.208,654.406,33.25,-443.95,15342
25,12,4,-200.07,9.164,654.416,31.74,-443.86,15343
25,12,4,-195.34,9.089,654.436,29.67,-439.18,15345
25,12,4,-192.18,9.015,654.456,29.37,-437.97,15347
25,12,4,-196.56,8.833,654.496,32.7,-449.83,15351
25,12,4,-198.33,8.802,654.506,33.83,-451.44,15352
25,12,4,-199.23,8.719,654.526,33.39,-449.36,15354
25,12,4,-194.56,8.587,654.556,33.38,-441.41,15357
25,12,4,-194.82,8.481,654.586,36.53,-443.57,15360
