RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index,SourceFile
25,12,2,-270.19,3.46,588.248,53.3,-355.33,12995,R20MZ_IA-2_FZ_250_filtered
25,12,2,-267.69,-5.887,593.887,-26.49,514.57,13558,R20MZ_IA-2_FZ_250_filtered
25,12,2,-267.59,3.418,588.258,53.13,-351.37,12996,R20MZ_IA-2_FZ_250_filtered
25,12,2,-267.44,-5.416,594.007,-29.56,495.47,13570,R20MZ_IA-2_FZ_250_filtered
25,12,2,-265.31,3.146,588.328,53.85,-321.33,13003,R20MZ_IA-2_FZ_250_filtered
25,12,2,-263.48,-6.445,593.747,-23.93,534.93,13544,R20MZ_IA-2_FZ_250_filtered
25,12,2,-263,2.728,588.438,50.36,-278.27,13014,R20MZ_IA-2_FZ_250_filtered
25,12,2,-262.51,-6.869,593.647,-19.25,547.14,13534,R20MZ_IA-2_FZ_250_filtered
25,12,2,-262.24,2.061,588.598,46.58,-214.68,13030,R20MZ_IA-2_FZ_250_filtered
25,12,2,-262.06,-6.211,593.807,-27.63,526.06,13550,R20MZ_IA-2_FZ_250_filtered
25,12,2,-261.73,-6.486,593.737,-22.99,536.28,13543,R20MZ_IA-2_FZ_250_filtered
25,12,2,-260.74,-7.191,593.557,-26.3,556.75,13525,R20MZ_IA-2_FZ_250_filtered
25,12,2,-260.39,0.809,583.058,28.79,-73.57,12477,R20MZ_IA-2_FZ_250_filtered
25,12,2,-260.01,4.667,587.948,48.77,-433.31,12965,R20MZ_IA-2_FZ_250_filtered
25,12,2,-259.91,-1.153,595.077,-3.66,186.77,13677,R20MZ_IA-2_FZ_250_filtered
25,12,2,-258.62,4.162,588.078,51.46,-398.76,12978,R20MZ_IA-2_FZ_250_filtered
25,12,2,-258.3,0.827,588.908,31.82,-69.42,13061,R20MZ_IA-2_FZ_250_filtered
25,12,2,-257.5,12.244,585.988,25.54,-593.16,12769,R20MZ_IA-2_FZ_250_filtered
25,12,2,-257.3,10.304,586.538,29.98,-589.93,12824,R20MZ_IA-2_FZ_250_filtered
25,12,2,-256.8,8.335,587.028,33.26,-566.5,12873,R20MZ_IA-2_FZ_250_filtered
25,12,2,-256.7,11.61,586.198,23.55,-591.17,12790,R20MZ_IA-2_FZ_250_filtered
25,12,2,-256.55,12.032,586.108,-1.04,-588.66,12781,R20MZ_IA-2_FZ_250_filtered
25,12,2,-255.65,7.376,587.268,37.8,-549.33,12897,R20MZ_IA-2_FZ_250_filtered
25,12,2,-255.14,-7.866,593.397,-11.95,566.81,13509,R20MZ_IA-2_FZ_250_filtered
25,12,2,-255.01,7.342,587.278,38.37,-547.95,12898,R20MZ_IA-2_FZ_250_filtered
25,12,2,-254.73,10.177,586.568,25.54,-583,12827,R20MZ_IA-2_FZ_250_filtered
25,12,2,-254.69,11.992,586.118,-4.42,-585.46,12782,R20MZ_IA-2_FZ_250_filtered
25,12,2,-253.8,12.302,585.898,4.76,-586.25,12760,R20MZ_IA-2_FZ_250_filtered
25,12,2,-253.64,10.232,585.418,25.3,-597.92,12713,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.86,11.201,585.658,20.37,-590.33,12737,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.76,-11.781,592.407,3.84,589.69,13410,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.59,-9.996,592.867,-2.16,583.79,13456,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.52,-12.201,592.307,8.64,591.08,13400,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.47,8.653,586.948,30.88,-570.04,12865,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.43,9.216,586.808,27.82,-573.13,12851,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.29,-11.269,592.537,-8.31,588.46,13423,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.22,11.486,585.728,21.92,-596.57,12744,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.22,-10.77,592.667,-1.04,583.64,13436,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.14,12.177,586.058,11.6,-586.77,12776,R20MZ_IA-2_FZ_250_filtered
25,12,2,-252.01,1.428,588.758,38.02,-138.78,13046,R20MZ_IA-2_FZ_250_filtered
25,12,2,-251.83,8.695,586.938,30.22,-568.81,12864,R20MZ_IA-2_FZ_250_filtered
25,12,2,-251.8,10.148,586.578,24.27,-579.97,12828,R20MZ_IA-2_FZ_250_filtered
25,12,2,-251.31,-8.738,593.177,-6.63,577.09,13487,R20MZ_IA-2_FZ_250_filtered
25,12,2,-251,9.838,585.318,24.87,-589.15,12703,R20MZ_IA-2_FZ_250_filtered
25,12,2,-250.85,-11.443,591.978,-2.75,589.49,13368,R20MZ_IA-2_FZ_250_filtered
25,12,2,-250.51,-11.667,592.047,9.9,592.89,13375,R20MZ_IA-2_FZ_250_filtered
25,12,2,-250.27,-12.262,592.148,11.98,590.85,13384,R20MZ_IA-2_FZ_250_filtered
25,12,2,-250.24,-11.889,592.388,17.14,588.98,13408,R20MZ_IA-2_FZ_250_filtered
25,12,2,-250.24,-8.875,593.147,-5.51,578.01,13484,R20MZ_IA-2_FZ_250_filtered
25,12,2,-250.15,-11.392,592.497,-10.41,588.39,13419,R20MZ_IA-2_FZ_250_filtered
25,12,2,-250.12,-12.21,592.268,-4.89,588.68,13396,R20MZ_IA-2_FZ_250_filtered
25,12,2,-250.04,-11.108,592.588,0.45,585.43,13428,R20MZ_IA-2_FZ_250_filtered
25,12,2,-249.93,-9.825,592.907,-0.88,582.2,13460,R20MZ_IA-2_FZ_250_filtered
25,12,2,-249.76,-11.998,592.367,28.57,587.72,13406,R20MZ_IA-2_FZ_250_filtered
25,12,2,-249.74,-11.04,592.607,4.62,588.69,13430,R20MZ_IA-2_FZ_250_filtered
25,12,2,-249.56,-12.091,592.347,27.89,587.41,13404,R20MZ_IA-2_FZ_250_filtered
25,12,2,-249.54,-12.204,592.258,-7.47,588.2,13395,R20MZ_IA-2_FZ_250_filtered
25,12,2,-249.49,-9.777,592.917,-1.73,582.5,13461,R20MZ_IA-2_FZ_250_filtered
25,12,2,-247.42,9.644,585.268,28.84,-594.85,12698,R20MZ_IA-2_FZ_250_filtered
25,12,2,-246.95,-10.409,591.718,-4.5,594.49,13342,R20MZ_IA-2_FZ_250_filtered
25,12,2,-246.13,-9.119,591.398,-10.78,584.55,13310,R20MZ_IA-2_FZ_250_filtered
25,12,2,-245.55,-3.719,590.048,-30.09,419.61,13175,R20MZ_IA-2_FZ_250_filtered
25,12,2,-245.45,-10.372,591.708,-4.7,594.61,13341,R20MZ_IA-2_FZ_250_filtered
25,12,2,-245.34,-10.801,591.818,-3.47,594.91,13352,R20MZ_IA-2_FZ_250_filtered
25,12,2,-244.9,1.919,583.338,43.51,-208.65,12505,R20MZ_IA-2_FZ_250_filtered
25,12,2,-244.88,-5.531,590.498,-28.55,507.42,13220,R20MZ_IA-2_FZ_250_filtered
25,12,2,-244.38,-3.214,589.918,-27.38,386.99,13162,R20MZ_IA-2_FZ_250_filtered
25,12,2,-244.29,7.126,584.638,36.11,-548.87,12635,R20MZ_IA-2_FZ_250_filtered
25,12,2,-243.99,9.529,585.238,26.86,-581.43,12695,R20MZ_IA-2_FZ_250_filtered
25,12,2,-243.87,-10.198,591.668,-6.51,591.48,13337,R20MZ_IA-2_FZ_250_filtered
25,12,2,-243.6,-9.049,591.378,-10.23,585.87,13308,R20MZ_IA-2_FZ_250_filtered
25,12,2,-243.4,8.564,584.998,29.38,-568.57,12671,R20MZ_IA-2_FZ_250_filtered
25,12,2,-242.94,-7.28,590.938,-19.24,557.77,13264,R20MZ_IA-2_FZ_250_filtered
25,12,2,-242.58,-1.561,589.498,-10.03,238.77,13120,R20MZ_IA-2_FZ_250_filtered
25,12,2,-242.41,-1.811,589.568,-16.87,271.04,13127,R20MZ_IA-2_FZ_250_filtered
25,12,2,-242.06,-2.448,589.728,-23.64,326.43,13143,R20MZ_IA-2_FZ_250_filtered
25,12,2,-241.86,-6.806,590.818,-21.3,546.41,13252,R20MZ_IA-2_FZ_250_filtered
25,12,2,-241.34,-1.072,589.388,-10.78,184.15,13109,R20MZ_IA-2_FZ_250_filtered
25,12,2,-241,-4.233,590.178,-30.92,451,13188,R20MZ_IA-2_FZ_250_filtered
25,12,2,-240.18,-1.587,589.508,-11.38,242.73,13121,R20MZ_IA-2_FZ_250_filtered
25,12,2,-240.13,-6.766,590.808,-21.25,546.21,13251,R20MZ_IA-2_FZ_250_filtered
25,12,2,-239.88,-4.481,590.238,-29.04,464.45,13194,R20MZ_IA-2_FZ_250_filtered
25,12,2,-239.84,-7.396,590.968,-19.65,561.12,13267,R20MZ_IA-2_FZ_250_filtered
25,12,2,-239.52,-5.161,590.408,-29.75,496.11,13211,R20MZ_IA-2_FZ_250_filtered
25,12,2,-239.12,-7.647,591.028,-17.01,566.51,13273,R20MZ_IA-2_FZ_250_filtered
25,12,2,-239,4.873,584.078,43.9,-455.34,12579,R20MZ_IA-2_FZ_250_filtered
25,12,2,-237.89,-0.813,589.328,-4.84,154.53,13103,R20MZ_IA-2_FZ_250_filtered
25,12,2,-237.75,-8.012,591.118,-14.66,574.4,13282,R20MZ_IA-2_FZ_250_filtered
25,12,2,-237.67,-7.926,591.098,-15.65,571.3,13280,R20MZ_IA-2_FZ_250_filtered
25,12,2,-237.41,-6.082,590.638,-25.94,527.86,13234,R20MZ_IA-2_FZ_250_filtered
25,12,2,-237.14,7.24,584.668,36.19,-539.74,12638,R20MZ_IA-2_FZ_250_filtered
25,12,2,-237.11,3.522,583.738,44.32,-361.05,12545,R20MZ_IA-2_FZ_250_filtered
25,12,2,-236.91,-4.435,590.228,-29.21,463.91,13193,R20MZ_IA-2_FZ_250_filtered
25,12,2,-236.48,-7.481,590.988,-18.13,564.6,13269,R20MZ_IA-2_FZ_250_filtered
25,12,2,-235.21,-4.803,590.318,-29.32,483.12,13202,R20MZ_IA-2_FZ_250_filtered
25,12,2,-235.05,-5.291,590.438,-27.97,502.34,13214,R20MZ_IA-2_FZ_250_filtered
25,12,2,-233.18,5.468,584.228,43.38,-472.2,12594,R20MZ_IA-2_FZ_250_filtered
25,12,2,-211.54,-2.644,493.3,-13.13,288.14,9903,R20MZ_IA-2_FZ_200_filtered
25,12,2,-211.51,-3.04,493.2,-15.53,314.99,9893,R20MZ_IA-2_FZ_200_filtered
25,12,2,-211.49,-3.08,493.19,-14.83,316.99,9892,R20MZ_IA-2_FZ_200_filtered
25,12,2,-210.84,-5.755,492.52,-11.13,428.69,9825,R20MZ_IA-2_FZ_200_filtered
25,12,2,-210.76,-5.31,492.63,-14.65,415.2,9836,R20MZ_IA-2_FZ_200_filtered
25,12,2,-210.5,-2.995,493.21,-15.42,312.02,9894,R20MZ_IA-2_FZ_200_filtered
25,12,2,-210.12,-3.958,492.97,-17.03,364.91,9870,R20MZ_IA-2_FZ_200_filtered
25,12,2,-209.86,-5.722,492.53,-11.46,426.95,9826,R20MZ_IA-2_FZ_200_filtered
25,12,2,-209.47,-2.681,493.29,-12.27,290.24,9902,R20MZ_IA-2_FZ_200_filtered
25,12,2,-209.35,-4.912,492.73,-14.14,401.66,9846,R20MZ_IA-2_FZ_200_filtered
25,12,2,-209.32,-4.353,492.87,-18.03,382.9,9860,R20MZ_IA-2_FZ_200_filtered
25,12,2,-209.21,-6.641,492.3,-7.39,450.07,9803,R20MZ_IA-2_FZ_200_filtered
25,12,2,-209.2,-6.222,492.4,-12.8,440.58,9813,R20MZ_IA-2_FZ_200_filtered
25,12,2,-209.18,-5.35,492.62,-13.59,415.9,9835,R20MZ_IA-2_FZ_200_filtered
25,12,2,-209.03,-5.223,492.65,-15.31,411.58,9838,R20MZ_IA-2_FZ_200_filtered
25,12,2,-208.37,-2.956,493.22,-15.09,309.49,9895,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.99,-6.727,492.28,-5.21,451.42,9801,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.95,-7.108,492.18,-11.07,458.56,9791,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.94,-2.489,493.34,-12.83,277.37,9907,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.86,-5.668,492.54,-11.67,424.43,9827,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.82,-6.589,492.31,-8.56,447.52,9804,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.67,-3.602,493.06,-15.91,345.76,9879,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.59,-5.393,492.61,-13.11,416.49,9834,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.56,0.584,481.6,24.69,-42.77,8735,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.52,1.236,487.41,30.71,-118.15,9315,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.5,-3.39,493.11,-17.02,335.37,9884,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.47,-4.306,492.88,-18.17,380.05,9861,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.46,-4.03,492.95,-15.6,367.47,9868,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.29,-4.959,492.72,-13.85,401.76,9845,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.16,-2.711,493.28,-12.25,292.97,9901,R20MZ_IA-2_FZ_200_filtered
25,12,2,-207.08,-4.756,492.77,-15.26,396.33,9850,R20MZ_IA-2_FZ_200_filtered
25,12,2,-206.79,-2.439,493.35,-11.85,274.7,9908,R20MZ_IA-2_FZ_200_filtered
25,12,2,-206.74,-7.549,492.07,-4.5,465.03,9780,R20MZ_IA-2_FZ_200_filtered
25,12,2,-206.42,-4.524,492.83,-15.7,386.85,9856,R20MZ_IA-2_FZ_200_filtered
25,12,2,-206.31,-5.626,492.55,-11.95,422.07,9828,R20MZ_IA-2_FZ_200_filtered
25,12,2,-206.26,-7.595,492.06,-2.73,465.3,9779,R20MZ_IA-2_FZ_200_filtered
