AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.61,1054.984,-4.75,-97.02,-103.58,0.01,-1.72,9.21,0.03,0.0459,0.9367,9.85,160317.47,7.8,93.61,1.007,-0,-1,121.39,122.79,124.8,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27433
78.6,1054.995,-4.87,-101.08,-104.66,0.01,-2.89,10.91,0.09,0.0466,0.9658,9.85,44404.16,7.8,93.6,1.042,-0,-0.9998,121.43,122.72,124.86,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27434
78.58,1055.005,-4.17,-104.64,-107.32,0.004,-2.04,12.54,0.09,0.0389,0.975,9.85,44362.18,7.8,93.6,1.088,-0,-0.9998,121.45,122.66,124.94,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27435
78.61,1055.015,-2.86,-108.35,-109.46,-0.002,-1.48,13.57,0.03,0.0261,0.9899,9.86,160050.91,7.8,93.58,1.112,-0,-1,121.39,122.63,124.98,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27436
78.62,1055.025,-1.83,-111.76,-111.05,-0.002,-0.72,13.4,0.09,0.0165,1.0064,9.86,44350.75,7.8,93.57,1.151,-0,-0.9998,121.37,122.61,125.02,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27437
78.58,1055.035,-0.43,-114.55,-110.61,-0,-0.58,13,0.03,0.0039,1.0357,9.84,160157.23,7.8,93.53,1.189,-0,-1,121.32,122.52,125.08,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27438
78.59,1055.045,0.82,-116.88,-108.66,0.004,-1.04,12.47,0.09,-0.0076,1.0757,9.86,44431.63,7.8,93.5,1.229,-0,-0.9998,121.3,122.59,125.04,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27439
78.62,1055.055,0.98,-118.4,-105.74,0.001,-1.68,11.26,-0.04,-0.0092,1.1198,9.85,-99668.79,7.8,93.49,1.278,-0,-1.0001,121.26,122.59,125,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27440
78.6,1055.065,1.41,-118.85,-103.12,0.004,-0.89,11.29,0.03,-0.0136,1.1525,9.87,160296.75,7.8,93.47,1.317,-0,-1,121.17,122.59,124.98,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27441
78.58,1055.074,0.77,-120.58,-101.42,0.012,-1.14,11.22,0.09,-0.0076,1.1889,9.86,44367.02,7.8,93.46,1.368,-0,-0.9998,121.09,122.61,125.02,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27442
