RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index,SourceFile
25,12,4,-273.39,-4.389,763.263,-16.45,450.21,19823,R20MZ_FZ_250_IA-4_filtered
25,12,4,-272.95,-4.422,763.253,-16.37,452.04,19822,R20MZ_FZ_250_IA-4_filtered
25,12,4,-271.08,-1.73,763.923,5.58,270.52,19889,R20MZ_FZ_250_IA-4_filtered
25,12,4,-271.02,-4.792,763.163,-15.83,468.73,19813,R20MZ_FZ_250_IA-4_filtered
25,12,4,-270.99,-3.419,763.503,-13.26,399.86,19847,R20MZ_FZ_250_IA-4_filtered
25,12,4,-266.64,-4.663,763.193,-15.15,465.19,19816,R20MZ_FZ_250_IA-4_filtered
25,12,4,-265.57,2.818,757.413,63.14,-248.07,19239,R20MZ_FZ_250_IA-4_filtered
25,12,4,-265.41,6.456,756.493,54.77,-498.85,19147,R20MZ_FZ_250_IA-4_filtered
25,12,4,-265.08,-6.336,762.773,-11.44,529.59,19774,R20MZ_FZ_250_IA-4_filtered
25,12,4,-264.85,-1.568,763.963,6.66,255.37,19893,R20MZ_FZ_250_IA-4_filtered
25,12,4,-264.27,-2.348,763.773,-0.95,327.45,19874,R20MZ_FZ_250_IA-4_filtered
25,12,4,-263.5,-6.787,762.663,-5.26,542.69,19763,R20MZ_FZ_250_IA-4_filtered
25,12,4,-263.42,4.744,756.923,62.79,-400.29,19190,R20MZ_FZ_250_IA-4_filtered
25,12,4,-260.16,-1.057,764.103,18.08,202.38,19907,R20MZ_FZ_250_IA-4_filtered
25,12,4,-260.04,1.546,757.723,55.86,-114.64,19270,R20MZ_FZ_250_IA-4_filtered
25,12,4,-259.58,3.428,757.253,66.11,-300.33,19223,R20MZ_FZ_250_IA-4_filtered
25,12,4,-258.48,4.432,757.003,60.94,-377.45,19198,R20MZ_FZ_250_IA-4_filtered
25,12,4,-257.97,6.617,756.453,52.13,-499.61,19143,R20MZ_FZ_250_IA-4_filtered
25,12,4,-257.64,11.396,754.703,31.31,-528.79,18969,R20MZ_FZ_250_IA-4_filtered
25,12,4,-257.6,7.075,756.343,50.46,-514.08,19132,R20MZ_FZ_250_IA-4_filtered
25,12,4,-257.36,7.867,756.143,44.94,-537.1,19112,R20MZ_FZ_250_IA-4_filtered
25,12,4,-257.2,6.655,756.443,50.8,-500.59,19142,R20MZ_FZ_250_IA-4_filtered
25,12,4,-257.1,3.459,757.243,65.45,-302.97,19222,R20MZ_FZ_250_IA-4_filtered
25,12,4,-255.68,12.287,754.893,21.85,-529.54,18987,R20MZ_FZ_250_IA-4_filtered
25,12,4,-255.54,10.9,754.583,31.57,-542.77,18957,R20MZ_FZ_250_IA-4_filtered
25,12,4,-255.52,-8.877,762.143,7.34,576.38,19711,R20MZ_FZ_250_IA-4_filtered
25,12,4,-255.29,-8.926,762.133,7.01,577.45,19710,R20MZ_FZ_250_IA-4_filtered
25,12,4,-253.8,1.255,752.174,55.38,-88.94,18716,R20MZ_FZ_250_IA-4_filtered
25,12,4,-253.79,-12.086,761.343,41.85,586.31,19631,R20MZ_FZ_250_IA-4_filtered
25,12,4,-253.69,2.169,757.563,61.84,-179.81,19254,R20MZ_FZ_250_IA-4_filtered
25,12,4,-253.63,11.745,755.163,30.04,-523.62,19014,R20MZ_FZ_250_IA-4_filtered
25,12,4,-253.61,-12.226,761.243,4.81,585.1,19621,R20MZ_FZ_250_IA-4_filtered
25,12,4,-253.01,10.985,754.603,30.55,-529.86,18959,R20MZ_FZ_250_IA-4_filtered
25,12,4,-252.93,11.185,754.654,33.05,-537.66,18964,R20MZ_FZ_250_IA-4_filtered
25,12,4,-252.62,-9.026,762.103,5.59,578.06,19707,R20MZ_FZ_250_IA-4_filtered
25,12,4,-252.38,11.345,755.263,38.66,-535.98,19024,R20MZ_FZ_250_IA-4_filtered
25,12,4,-252.27,-9.137,762.073,0.97,576.65,19704,R20MZ_FZ_250_IA-4_filtered
25,12,4,-252.24,-12.275,761.153,21.31,585.64,19612,R20MZ_FZ_250_IA-4_filtered
25,12,4,-252.1,10.042,754.373,32.02,-540.66,18936,R20MZ_FZ_250_IA-4_filtered
25,12,4,-251.6,1.73,757.683,53.53,-128.35,19266,R20MZ_FZ_250_IA-4_filtered
25,12,4,-251.55,8.037,756.103,43.91,-530.61,19108,R20MZ_FZ_250_IA-4_filtered
25,12,4,-251.48,-12.261,761.163,18.55,586.05,19613,R20MZ_FZ_250_IA-4_filtered
25,12,4,-251.48,-10.306,761.773,2.06,583.26,19674,R20MZ_FZ_250_IA-4_filtered
25,12,4,-251.37,-10.51,761.723,5.51,583.76,19669,R20MZ_FZ_250_IA-4_filtered
25,12,4,-251.23,-11.522,760.993,14.16,588.66,19597,R20MZ_FZ_250_IA-4_filtered
25,12,4,-251.14,-12.245,761.173,16.74,586.66,19614,R20MZ_FZ_250_IA-4_filtered
25,12,4,-251.14,-12.221,761.273,11.1,586.36,19624,R20MZ_FZ_250_IA-4_filtered
25,12,4,-250.77,11.098,754.633,32.29,-528.76,18962,R20MZ_FZ_250_IA-4_filtered
25,12,4,-249.87,-11.251,760.923,12.14,587.05,19590,R20MZ_FZ_250_IA-4_filtered
25,12,4,-249.54,-11.45,760.973,14.18,590.12,19595,R20MZ_FZ_250_IA-4_filtered
25,12,4,-249.42,-2.121,758.643,-2.94,311.62,19362,R20MZ_FZ_250_IA-4_filtered
25,12,4,-249.08,8.86,755.893,39.04,-540.39,19087,R20MZ_FZ_250_IA-4_filtered
25,12,4,-248.99,0.249,758.053,37.86,44.57,19303,R20MZ_FZ_250_IA-4_filtered
25,12,4,-248.95,8.982,755.863,37.03,-539.94,19084,R20MZ_FZ_250_IA-4_filtered
25,12,4,-248.91,0.477,757.993,40.03,15.69,19297,R20MZ_FZ_250_IA-4_filtered
25,12,4,-248.64,-9.761,760.553,7.2,587.28,19553,R20MZ_FZ_250_IA-4_filtered
25,12,4,-248.61,2.315,752.434,58.96,-212.01,18742,R20MZ_FZ_250_IA-4_filtered
25,12,4,-248.61,-11.373,760.953,14.2,589.91,19593,R20MZ_FZ_250_IA-4_filtered
25,12,4,-248.51,11.609,755.193,36.24,-516.8,19017,R20MZ_FZ_250_IA-4_filtered
25,12,4,-247.97,-3.495,758.983,-10.32,407.57,19396,R20MZ_FZ_250_IA-4_filtered
25,12,4,-247.79,8.142,753.893,43.06,-546.7,18888,R20MZ_FZ_250_IA-4_filtered
25,12,4,-247.33,-10.374,760.703,8.93,587.66,19568,R20MZ_FZ_250_IA-4_filtered
25,12,4,-246.86,9.258,754.173,36.5,-535.71,18916,R20MZ_FZ_250_IA-4_filtered
25,12,4,-246.66,-4.326,759.193,-12.04,452.39,19417,R20MZ_FZ_250_IA-4_filtered
25,12,4,-245.53,-0.763,758.313,15.03,178.49,19329,R20MZ_FZ_250_IA-4_filtered
