RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index,SourceFile
25,12,4,-273.39,-4.389,763.263,-16.45,450.21,19823,R20MZ_IA-4_FZ_250_filtered
25,12,4,-272.95,-4.422,763.253,-16.37,452.04,19822,R20MZ_IA-4_FZ_250_filtered
25,12,4,-271.08,-1.73,763.923,5.58,270.52,19889,R20MZ_IA-4_FZ_250_filtered
25,12,4,-271.02,-4.792,763.163,-15.83,468.73,19813,R20MZ_IA-4_FZ_250_filtered
25,12,4,-270.99,-3.419,763.503,-13.26,399.86,19847,R20MZ_IA-4_FZ_250_filtered
25,12,2,-270.19,3.46,588.248,53.3,-355.33,12995,R20MZ_IA-2_FZ_250_filtered
25,12,0,-270.03,2.97,284.18,38.33,-334.06,1797,R20MZ_FZ_250_filtered
25,12,0,-269.64,3.16,419.33,40.69,-354.53,6775,R20MZ_FZ_250_filtered
25,12,0,-269.35,3.114,419.34,39.97,-352.51,6776,R20MZ_FZ_250_filtered
25,12,0,-269.2,2.686,419.45,36.25,-312.97,6787,R20MZ_FZ_250_filtered
25,12,0,-269.1,5.387,418.77,37.61,-494.87,6719,R20MZ_FZ_250_filtered
25,12,0,-268.97,3.01,284.17,38.93,-335.77,1796,R20MZ_FZ_250_filtered
25,12,0,-268.9,-2.671,290.49,-39.27,305.08,2427,R20MZ_FZ_250_filtered
25,12,0,-268.79,4.029,419.11,42.06,-422.15,6753,R20MZ_FZ_250_filtered
25,12,0,-268.69,5.181,283.62,37.3,-479.99,1741,R20MZ_FZ_250_filtered
25,12,0,-268.64,3.869,283.95,41.79,-405.39,1774,R20MZ_FZ_250_filtered
25,12,0,-268.62,5.229,283.61,37.66,-480.6,1740,R20MZ_FZ_250_filtered
25,12,0,-268.58,4.78,283.72,40.35,-459.04,1751,R20MZ_FZ_250_filtered
25,12,0,-268.58,2.545,284.28,35.08,-294.96,1807,R20MZ_FZ_250_filtered
25,12,0,-268.57,5.344,418.78,36.42,-493.48,6720,R20MZ_FZ_250_filtered
25,12,0,-268.36,4.004,419.12,41.15,-420.13,6754,R20MZ_FZ_250_filtered
25,12,0,-268.35,-2.796,425.66,-40.75,319.66,7407,R20MZ_FZ_250_filtered
25,12,-0,-268.31,-2.846,425.65,-40.53,324.32,7406,R20MZ_FZ_250_filtered
25,12,0,-268.18,-2.724,290.48,-39.02,310.83,2426,R20MZ_FZ_250_filtered
25,12,0,-268.16,4.906,418.89,39.54,-473,6731,R20MZ_FZ_250_filtered
25,12,0,-268.12,2.726,419.44,36.55,-314.66,6786,R20MZ_FZ_250_filtered
25,12,0,-267.95,3.839,283.96,41.36,-403.69,1775,R20MZ_FZ_250_filtered
25,12,0,-267.9,-1.37,257.02,-25.69,170.47,1212,R20MZ_FZ_250_filtered
25,12,0,-267.87,-2.634,290.5,-39.29,300.89,2428,R20MZ_FZ_250_filtered
25,12,0,-267.87,4.949,418.88,40.14,-473.78,6730,R20MZ_FZ_250_filtered
25,12,0,-267.79,4.068,419.1,42.31,-423.06,6752,R20MZ_FZ_250_filtered
