AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
79.27,759.753,-4.87,-425.3,-206,0.006,15.78,21.8,0.04,0.0237,2.0645,12.1,96296.12,7.58,97.54,5.794,-0,-0.9999,148.21,146.32,136.36,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21662
79.31,759.763,-4.6,-425.94,-207.15,0.01,14.57,22.18,0.18,0.0222,2.0562,12.22,23161.66,7.58,97.54,5.747,-0,-0.9997,148.01,146.12,136.52,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21663
79.3,759.773,-3.94,-426.25,-209.15,0.007,15.57,22.3,0.11,0.0188,2.038,12.28,37352.72,7.58,97.5,5.718,-0,-0.9998,147.82,145.97,136.64,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21664
79.27,759.783,-2.62,-426.26,-209.68,0.01,15.17,22.57,0.11,0.0125,2.0329,12.3,37372.82,7.58,97.49,5.674,-0,-0.9998,147.76,145.77,136.72,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21665
79.29,759.793,-1.72,-424.86,-209.42,0.007,15.15,22.2,0.18,0.0082,2.0288,12.26,23187.52,7.59,97.46,5.634,-0,-0.9997,147.61,145.68,136.78,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21666
79.31,759.803,-0.8,-422.04,-207.67,-0.002,15.12,22,0.18,0.0038,2.0322,12.17,23199.8,7.59,97.49,5.594,-0,-0.9997,147.41,145.68,136.68,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21667
79.28,759.813,-0.52,-418.61,-206.55,0.001,15.73,21.93,0.25,0.0025,2.0267,12.05,16811.76,7.59,97.52,5.552,-0,-0.9995,147.33,145.57,136.6,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21668
79.27,759.823,-0.44,-415.82,-204.44,0.007,15.19,22.78,0.11,0.0022,2.034,12,37390.7,7.59,97.48,5.522,-0,-0.9998,147.2,145.5,136.48,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21669
79.3,759.833,-1.18,-413.49,-203.53,0.003,15.17,23.32,0.18,0.0058,2.0315,11.96,23183.09,7.59,97.48,5.463,-0,-0.9997,147.14,145.48,136.4,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21670
79.31,759.843,-2.1,-412.09,-203.52,0.004,15.63,24.18,0.11,0.0103,2.0248,12.03,37370.06,7.59,97.46,5.43,-0,-0.9998,147.03,145.57,136.36,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21671
